
📺中央卫视数字频道,#genre#
CETV4,http://183.52.44.224:11/rtp/239.253.43.114:5146
CETV4,http://113.103.253.123:2000/rtp/239.253.43.114:5146
CETV4,http://61.140.233.79:4000/rtp/239.253.43.114:5146
CETV4,http://59.38.60.204:2052/rtp/239.253.43.114:5146
CETV5,http://183.52.44.224:11/rtp/239.77.0.180:5146
CETV5,http://113.103.253.123:2000/rtp/239.77.0.180:5146
CETV5,http://61.140.233.79:4000/rtp/239.77.0.180:5146
CETV5,http://59.38.60.204:2052/rtp/239.77.0.180:5146
CF世界地理,http://szxhe.cn:8888/rtp/232.0.0.123:9292$辽L联通1+
CF世界地理,http://220.175.145.4:9000/rtp/239.252.219.93:5140
CF世界地理,http://117.43.80.219:9999/rtp/239.252.219.93:5140
CF世界地理,http://111.73.20.168:8688/rtp/239.252.219.93:5140
CF兵器科技,http://szxhe.cn:8888/rtp/232.0.0.121:8882$辽L联通1+
CF兵器科技,http://220.175.145.4:9000/rtp/239.252.219.98:5140
CF兵器科技,http://117.43.80.219:9999/rtp/239.252.219.98:5140
CF兵器科技,http://111.73.20.168:8688/rtp/239.252.219.98:5140
CF央视台球,http://szxhe.cn:8888/rtp/232.0.0.122:9290$辽L联通1+
CF央视台球,http://220.175.145.4:9000/rtp/239.252.219.80:5140
CF央视台球,http://117.43.80.219:9999/rtp/239.252.219.80:5140
CF央视台球,http://111.73.20.168:8688/rtp/239.252.219.80:5140
CF女性时尚,http://szxhe.cn:8888/rtp/232.0.0.120:8858$辽L联通1+
CF女性时尚,http://220.175.145.4:9000/rtp/239.252.219.94:5140
CF女性时尚,http://117.43.80.219:9999/rtp/239.252.219.94:5140
CF女性时尚,http://111.73.20.168:8688/rtp/239.252.219.94:5140
CF怀旧剧场,http://szxhe.cn:8888/rtp/232.0.0.204:9226$辽L联通1+
CF怀旧剧场,http://220.175.145.4:9000/rtp/239.252.219.90:5140
CF怀旧剧场,http://117.43.80.219:9999/rtp/239.252.219.90:5140
CF怀旧剧场,http://111.73.20.168:8688/rtp/239.252.219.90:5140
CF文化精品,http://szxhe.cn:8888/rtp/232.0.0.107:8698$辽L联通1+
CF文化精品,http://220.175.145.4:9000/rtp/239.252.219.81:5140
CF文化精品,http://117.43.80.219:9999/rtp/239.252.219.81:5140
CF文化精品,http://111.73.20.168:8688/rtp/239.252.219.81:5140
CF电视指南,http://szxhe.cn:8888/rtp/232.0.0.124:9294$辽L联通1+
CF电视指南,http://220.175.145.4:9000/rtp/239.252.219.97:5140
CF电视指南,http://117.43.80.219:9999/rtp/239.252.219.97:5140
CF电视指南,http://111.73.20.168:8688/rtp/239.252.219.97:5140
CF第一剧场,http://szxhe.cn:8888/rtp/232.0.0.147:9132$辽L联通1+
CF第一剧场,http://220.175.145.4:9000/rtp/239.252.219.86:5140
CF第一剧场,http://117.43.80.219:9999/rtp/239.252.219.86:5140
CF第一剧场,http://111.73.20.168:8688/rtp/239.252.219.86:5140
CF风云剧场,http://szxhe.cn:8888/rtp/232.0.0.52:8610$辽L联通1+
CF风云剧场,http://220.175.145.4:9000/rtp/239.252.219.89:5140
CF风云剧场,http://117.43.80.219:9999/rtp/239.252.219.89:5140
CF风云剧场,http://111.73.20.168:8688/rtp/239.252.219.89:5140
CF风云足球,http://szxhe.cn:8888/rtp/232.0.0.90:9286$辽L联通1+
CF风云足球,http://220.175.145.4:9000/rtp/239.252.219.96:5140
CF风云足球,http://117.43.80.219:9999/rtp/239.252.219.96:5140
